native,quick,merge,bubble,insertion,selection,counting,counting2,radix,bitonic,gnome,shell,shaker,lodash
1.458,0.743,2.573,4.814,2.248,2.931,0.365,0.265,1.12,2.586,3.035,1.859,3.954,6.149
0.861,0.915,3.878,5.076,3.081,2.74,0.243,0.192,0.972,2.959,2.912,1.707,3.607,4.771
1.3,0.945,2.115,5.364,2.133,14.434,0.718,0.473,1.114,2.672,3.874,2.173,4.384,5.744
1.336,0.704,2.078,4.86,2.088,2.765,0.242,0.195,0.968,2.448,3.092,1.757,3.816,4.68
1.445,5.134,1.889,4.527,2.241,2.615,0.245,0.312,0.981,2.696,3.131,2.139,3.751,6.444
1.465,0.88,1.817,5.502,1.962,2.645,0.263,0.206,1.061,2.415,3.171,1.759,3.582,4.943
1.33,0.669,2.25,4.856,1.981,2.656,0.242,0.192,1.256,2.786,3.358,1.734,4.164,6.358
2.048,1.612,5.867,5.426,2.09,2.563,0.237,0.191,3.898,2.396,3.107,1.736,3.573,4.59
1.358,1.038,1.85,5.683,2.016,2.731,0.242,0.199,0.975,2.453,3.12,2.133,4.812,7.683
1.31,1.124,1.896,4.615,1.904,2.628,0.248,0.197,0.991,2.688,3.354,1.707,3.794,5.473
1.314,0.859,2.468,6.413,1.908,2.72,0.24,0.187,0.984,2.673,3.192,1.707,3.706,5.235
1.556,1.096,5.422,6.802,2.018,3.86,0.242,0.19,1.319,2.322,3.147,2.386,3.859,4.505
1.625,1.049,2.424,6.16,2.085,2.676,0.24,0.195,1.025,2.431,2.965,1.671,3.767,5.987
0.918,1.046,6.421,4.907,2.079,2.678,0.35,0.191,0.977,2.338,2.983,1.733,3.612,5.261
1.365,0.91,2.943,6.056,2.861,2.698,0.245,0.19,1.17,2.347,3.066,1.651,3.7,7.314
0.953,0.926,5.458,5.215,2.29,2.714,0.247,0.187,0.98,3.015,3.109,1.679,3.919,6.036
1.559,1.013,5.862,5.542,2.107,2.809,0.242,0.192,0.963,2.382,3.355,1.74,4.324,5.197
1.334,0.944,7.995,4.5,2.188,2.585,0.24,0.191,1.019,2.651,3.309,1.68,3.894,6.749
0.88,1.046,2.04,5.201,2.099,2.865,0.24,0.22,0.981,2.496,3.009,1.72,3.758,4.779
1.987,0.981,7.094,7.55,2.01,2.541,0.263,0.201,1.033,2.727,3.294,1.701,3.673,4.427
1.346,1.085,1.818,4.867,1.98,3.469,0.234,0.19,1.014,2.292,2.926,1.646,3.75,5.234
0.865,1.033,1.812,6.198,2.133,3.367,0.237,0.19,0.999,2.602,3.185,1.746,3.607,5.596
1.39,0.874,2.708,7.959,2.342,10.429,0.251,0.243,0.988,2.433,3.007,1.673,3.643,4.303
0.844,1.029,1.984,5.085,2.146,2.659,0.246,0.262,1.04,3.225,2.962,1.751,3.848,4.606
0.832,1.009,1.891,10.53,1.994,2.704,0.381,0.192,1.009,2.562,3.085,1.612,3.904,4.253
1.347,1.623,2.019,4.994,2.154,2.552,0.241,0.25,0.964,2.446,3.052,1.711,3.69,6.437
1.379,0.88,1.834,4.814,2.047,2.539,0.239,0.197,1.065,2.46,3.155,1.652,3.706,9.394
1.347,0.834,1.801,5.025,2.104,2.543,0.243,0.19,0.964,2.515,2.988,1.716,3.895,4.77
1.338,0.836,1.909,5.009,2.042,2.576,0.476,0.193,0.972,2.45,3.087,1.635,3.596,6.505
1.073,1.241,1.837,5.216,1.878,2.72,0.243,0.191,0.991,2.337,6.104,1.678,3.693,5.534
0.844,0.906,2.333,6.009,2.101,2.487,0.24,0.192,0.989,3.002,2.909,2.135,3.858,4.519
1.331,0.974,2.061,4.799,2.123,2.67,0.242,0.196,4.474,2.49,3.033,1.712,4.017,6.227
1.325,1.169,2.558,5.754,2.063,2.693,0.264,0.199,1.047,2.585,3.095,1.713,3.78,5.166
1.291,1.029,2.696,6.09,1.9,2.675,0.241,0.194,0.973,2.398,2.924,1.696,8.231,6.427
0.979,1.074,2.68,4.813,2.107,2.375,0.249,0.193,1.097,2.472,3.091,1.711,3.705,6.823
1.301,0.844,1.835,4.526,3.05,2.631,0.235,0.19,0.976,2.448,3.105,1.689,3.811,6.486
