native,quick,countingObj
87.593,31.445,26.151
78.826,27.444,26.071
80.558,33.346,28.758
77.305,26.601,26.458
110.944,30.163,30.907
113.251,29.248,24.138
80.773,30.16,26.569
77.395,27.029,29.072
77.258,27.012,37.481
92.198,26.592,26.69
74.5,30.311,25.126
81.815,28.622,26.836
77.824,26.32,26.518
75.428,26.471,25.203
75.074,25.39,27.287
79.385,26.579,25.336
87.902,28.012,26.858
76.601,26.985,27.271
72.861,27.533,25.429
75.82,27.989,25.391
75.366,26.866,27.004
72.996,25.621,25.428
72.911,30.156,25.433
75.345,26.747,26.431
82.117,27.073,28.071
75.575,29.505,25.754
75.085,26.163,26.266
78.513,35.871,26.936
86.499,28.985,26.064
86.331,29.329,26.733
84.879,29.19,26.256
74.543,26.263,27.659
76.626,26.275,25.26
79.658,27.554,28.203
78.911,27.502,24.907
82.168,26.832,23.821
78.98,26.345,27.347
93.928,27.419,26.274
88.021,28.547,24.851
78.599,41.502,26.617
74.214,26.318,24.784
82.372,27.038,27.546
80.403,27.829,25.87
75.196,31.067,25.668
83.653,30.682,26.678
77.123,30.676,26.299
79.767,26.487,25.71
82.826,30.991,32.837
88.777,27.193,27.319
74.03,32.926,27.204
77.298,25.384,26.953
75.635,28.286,23.788
79.876,26.92,26.659
72.881,27.992,29.865
78.226,28.233,26.4
74.777,27.275,27.017
81.333,26.403,26.899
76.054,29.489,26.055
78.208,26.727,24.502
72.719,26.919,27.112
72.834,26.561,26.179
76.43,28.237,24.452
75.454,25.012,25.856
74.932,25.902,26.108
81.559,27.875,25.38
79.242,27.468,32.513
73.496,26.465,28.501
75.198,27.633,27.985
81.36,26.659,27.708
84.227,28.391,27.297
80.095,26.319,25.698
84.479,27.478,27.036
81.519,27.35,28.009
76.463,34.051,25.738
77.749,26.709,37.077
73.949,32.431,25.474
74.046,26.354,25.538
78.99,27.245,27.963
78.884,29.096,27.779
75.581,31.373,27.489
81.678,31.242,29.929
72.986,25.727,27.181
85.342,26.926,24.128
73.145,31.194,26.554
77.365,27.248,25.565
77.055,25.812,25.658
72.696,27.824,26.868
78.501,25.811,27.368
79.118,25.974,25.798
75,27.424,26.601
77.146,28.477,26.529
77.644,30.382,27.448
77.288,25.972,25.908
81.676,32.808,28.767
81.419,34.073,32.053
75.604,26.246,25.174
76.665,31.106,24.538
86.111,26.2,34.766
85.247,33.626,26.124
