native,quick,bucket,merge,bubble,insertion,selection,countingObj,gnome,fastsort,shaker,lodash
0.091,0.616,0.371,0.769,3.941,2.832,6.76,0.115,3.376,0.353,3.512,1.833
0.09,0.27,0.337,0.438,3.256,2.341,3.547,0.108,2.761,0.518,3.789,1.371
0.091,0.292,0.339,0.436,3.275,2.497,2.694,0.099,2.798,0.363,5.045,1.657
0.09,0.364,0.577,1.255,3.349,2.395,3.075,0.111,2.804,0.333,3.874,1.231
0.09,0.347,0.337,0.625,3.275,2.392,3.753,0.121,3.727,0.376,4.515,1.269
0.095,0.295,0.458,0.537,5.064,3.037,3.065,0.122,3.574,0.359,3.591,1.501
0.125,0.27,0.387,0.448,3.287,2.6,2.85,0.102,3.432,0.354,3.554,1.291
0.09,0.269,0.341,0.46,3.992,2.628,2.537,0.107,2.793,0.352,3.58,6.231
0.091,0.328,0.34,0.442,3.188,2.595,2.451,0.103,2.83,0.354,3.588,1.369
0.092,0.268,0.337,0.47,3.448,2.732,2.548,0.101,3.427,0.351,3.607,1.257
0.109,0.273,0.337,0.436,3.98,2.996,2.723,0.098,2.917,0.35,5.246,1.357
0.09,0.276,0.337,0.437,3.324,2.748,2.476,0.1,2.798,0.351,4.105,5.203
0.097,0.377,0.46,0.466,3.806,2.67,2.795,0.11,3.357,0.357,6.473,1.351
0.096,0.303,0.493,0.435,4.068,2.58,4.45,0.102,3.002,0.353,3.573,1.282
0.091,0.344,0.337,0.495,3.502,2.668,3.647,0.103,2.841,0.353,6.017,1.308
0.09,0.303,0.34,0.435,3.542,2.528,2.574,0.105,2.966,0.351,3.746,1.279
0.09,0.273,0.336,0.436,3.459,3.65,3.395,0.102,2.807,0.345,3.612,1.326
0.09,0.296,0.376,0.436,3.302,2.721,2.594,0.104,3.312,0.378,3.843,1.221
0.09,0.269,0.341,0.459,3.26,2.609,2.771,0.108,2.856,0.401,3.666,1.344
0.099,0.389,0.371,0.805,3.28,2.52,2.516,0.1,2.975,0.335,4.418,1.869
0.09,0.328,0.34,0.492,3.355,2.664,2.575,0.102,2.835,0.383,3.628,1.741
0.09,0.282,0.342,0.438,4.349,2.798,2.562,0.105,2.8,0.354,3.525,1.537
0.09,0.312,0.353,0.436,3.191,2.827,3.301,0.105,3.012,0.35,3.634,1.244
0.145,0.377,0.473,0.843,10.826,5.608,3.293,0.179,2.821,0.348,3.792,1.461
0.09,0.288,0.364,0.469,3.258,2.497,2.624,0.119,2.73,0.357,3.764,1.246
0.094,0.264,0.365,0.51,3.221,2.641,2.766,0.101,2.798,0.333,3.741,1.219
0.089,0.265,0.339,0.435,3.325,2.507,2.509,0.101,3.043,0.349,3.446,1.355
0.105,0.285,0.413,0.437,3.135,2.754,2.541,0.101,2.776,0.383,4.707,1.221
0.096,0.27,0.338,0.441,3.221,2.512,2.605,0.102,2.729,0.546,3.498,1.214
0.094,0.266,0.359,0.437,3.297,2.649,2.869,0.138,3.614,0.336,3.735,6.655
0.093,0.279,0.365,0.466,5.572,2.512,3.209,0.106,3.256,0.476,4.547,1.247
0.089,0.291,0.343,0.47,3.784,3.102,2.655,0.111,3.127,0.348,3.852,1.331
0.09,0.271,0.341,0.439,3.279,2.6,2.418,0.101,2.746,0.349,3.652,1.21
0.09,0.331,0.343,0.442,3.161,2.758,2.378,0.108,2.758,0.351,3.494,2.019
0.097,0.293,0.405,0.468,3.905,2.567,2.818,0.116,3.307,0.357,3.975,2.303
0.091,0.274,0.361,0.444,3.592,2.367,3.005,0.102,2.885,0.334,3.59,1.251
0.101,0.28,0.362,0.439,3.281,2.838,2.576,0.114,3.46,0.355,4.246,2.126
0.091,0.268,0.347,0.44,3.76,2.338,2.373,0.105,2.721,0.353,3.57,1.25
0.091,0.3,0.485,0.436,3.368,2.181,2.517,0.099,2.731,0.35,3.628,1.21
0.092,0.269,0.339,0.441,3.31,8.378,2.588,0.109,2.751,0.333,4.502,1.308
0.091,0.279,0.41,0.438,3.153,2.606,2.458,0.118,3.405,0.354,3.561,1.356
0.096,0.389,0.358,0.545,3.675,2.579,2.963,0.1,2.886,0.36,3.881,1.232
0.108,0.265,0.339,0.437,4.066,2.498,2.654,0.101,2.697,0.403,3.848,1.271
0.09,0.273,0.343,0.439,3.377,2.528,2.741,0.102,2.766,0.352,3.573,1.272
0.09,0.268,0.34,0.464,3.29,2.623,2.784,0.262,2.835,0.354,3.466,1.254
0.091,0.301,0.339,0.434,3.136,2.452,2.446,0.1,2.734,5.363,3.53,1.191
0.093,0.275,0.342,0.442,3.32,2.379,2.788,0.108,3.493,0.336,4.274,1.416
0.09,0.267,0.343,0.789,3.318,3.014,2.494,0.135,2.816,0.351,3.469,1.274
0.093,0.272,0.353,0.444,3.617,2.602,2.416,0.099,2.776,0.352,3.535,1.228
0.093,0.27,0.349,0.437,3.389,2.529,2.319,0.1,2.779,0.352,3.513,1.231
0.15,0.317,0.368,0.473,5.024,2.592,2.84,0.111,3.205,0.358,3.915,1.815
0.119,0.27,0.341,0.433,4.406,2.462,2.812,0.1,3.294,0.334,3.891,1.304
0.237,0.285,0.465,0.437,3.242,2.363,2.655,0.109,2.823,0.348,3.884,1.322
0.09,0.277,0.343,0.492,3.308,2.987,2.437,0.102,2.772,0.35,3.644,1.207
0.089,0.294,0.341,0.51,3.387,2.588,2.714,0.097,2.904,0.337,3.794,2.007
0.09,0.264,0.343,0.437,3.285,2.63,2.64,0.101,2.996,0.338,3.529,1.198
0.098,0.267,0.345,0.436,4.455,2.481,2.418,0.099,2.867,0.353,3.503,1.621
0.091,0.267,0.374,0.444,3.328,2.517,3.212,0.106,2.822,0.336,3.839,1.426
0.09,0.261,0.35,0.483,3.214,2.827,2.512,0.123,2.811,0.36,3.648,1.217
0.107,0.269,0.342,0.436,3.243,2.691,3.045,0.116,2.789,0.332,3.858,1.201
0.092,0.277,0.36,0.792,3.396,2.678,2.54,0.1,2.777,0.352,3.495,1.284
0.138,0.277,0.346,0.463,3.175,2.47,2.753,0.108,2.848,0.338,4.552,1.333
0.091,0.364,0.477,0.442,3.29,2.523,2.496,0.101,3.123,0.391,3.598,1.33
0.197,0.322,0.342,0.438,3.309,2.576,2.393,0.105,3.028,0.353,3.918,1.432
0.091,0.337,0.433,0.438,3.182,2.485,2.594,0.103,3.589,0.35,3.502,1.268
0.09,0.298,0.369,0.444,3.427,2.541,2.562,0.101,2.833,0.349,3.663,1.263
0.091,0.273,0.339,0.473,3.245,3.976,2.94,0.134,2.775,0.35,3.485,1.35
0.09,0.282,0.339,0.437,3.753,2.601,2.544,0.1,2.739,0.349,4.81,1.242
0.091,0.273,0.391,0.439,3.427,2.751,2.491,0.101,2.974,0.352,3.622,1.478
0.095,0.29,0.34,0.441,3.385,2.488,2.653,0.1,3.181,0.333,3.672,1.539
0.096,0.276,0.353,0.509,3.257,2.644,2.445,0.13,2.976,0.346,3.734,1.236
0.092,0.261,0.759,0.437,3.878,2.698,2.852,0.112,3.287,0.353,3.862,1.328
0.114,0.282,0.343,0.463,3.173,2.57,2.557,0.102,2.716,0.55,3.783,1.294
0.091,0.271,0.374,0.659,3.278,2.748,2.451,0.123,2.832,0.362,3.522,1.76
0.09,0.273,0.497,0.599,3.491,4.138,2.461,0.099,2.819,0.393,3.794,1.342
0.091,0.278,0.342,0.437,3.21,2.673,2.561,0.099,3.005,0.334,4.089,1.304
0.09,0.282,0.401,0.557,3.309,7.582,2.558,0.185,3.117,0.351,3.785,1.245
0.092,0.267,0.352,0.442,4.27,2.592,2.704,0.101,2.867,0.35,3.607,1.283
0.093,0.269,0.341,0.438,4.019,2.499,7.053,0.1,2.891,0.352,3.743,1.23
0.09,0.345,0.345,0.441,3.263,2.546,2.428,0.109,2.947,0.352,3.565,1.216
0.09,0.267,0.35,0.783,4.455,2.689,2.59,0.1,2.779,0.352,3.67,1.233
0.09,0.272,0.347,0.437,3.304,2.563,3.321,0.098,2.889,0.348,3.926,1.847
0.09,0.302,0.342,0.44,3.708,2.525,3.459,0.144,2.793,0.486,3.852,1.29
0.089,0.271,0.348,0.435,4.1,3.055,2.795,0.107,2.862,0.332,8.389,1.395
0.09,0.272,0.376,0.452,3.363,2.769,2.91,0.105,3.112,0.348,3.517,1.256
0.09,0.265,0.342,0.445,3.3,2.785,2.618,0.116,3.116,0.338,3.798,1.265
0.131,0.317,0.533,0.44,3.234,2.714,2.458,0.099,4.927,0.351,3.537,1.242
0.09,0.28,0.348,0.436,4.52,2.492,3.163,0.101,3.016,0.357,4.808,1.392
0.104,0.29,0.342,0.438,3.211,2.814,3.423,0.165,2.945,0.332,3.825,1.377
0.159,0.404,0.343,0.435,3.401,2.555,2.82,0.1,2.963,0.399,3.794,1.299
0.095,0.287,0.362,0.525,3.259,2.619,2.595,0.102,2.679,0.35,3.808,1.432
0.098,0.31,0.471,0.472,3.342,2.63,2.536,0.101,2.972,0.332,3.563,1.251
0.09,0.303,0.34,0.44,3.197,2.539,2.711,0.103,2.826,0.412,3.849,1.272
0.091,0.355,0.345,0.441,3.197,2.573,2.498,0.103,3.127,0.367,4.306,1.506
0.09,0.267,0.41,0.436,3.8,2.392,4.263,0.113,2.959,0.351,3.835,1.415
0.09,0.28,0.347,0.444,3.397,2.591,2.918,0.099,3.067,0.333,3.514,1.302
0.091,0.272,0.624,0.48,3.484,2.645,2.447,0.137,2.836,0.351,3.692,1.575
0.089,0.274,0.39,0.439,3.174,2.673,2.557,0.102,2.785,0.35,3.589,1.345
0.119,0.269,0.344,0.441,4.209,2.687,2.71,0.127,2.819,0.375,3.549,1.425
0.095,0.263,0.367,0.442,4.075,2.591,2.415,0.102,2.826,0.359,4.612,1.323
0.095,0.279,0.396,0.44,3.327,2.646,2.415,0.099,2.78,0.457,3.752,1.238
0.109,0.274,0.363,0.437,3.637,2.55,2.707,0.118,2.849,0.35,3.645,1.259
0.183,0.276,0.342,0.445,3.269,2.757,2.726,0.112,2.783,0.352,3.595,1.236
0.091,0.365,0.369,0.433,3.093,2.885,2.761,0.102,2.86,0.352,3.629,1.245
0.09,0.268,0.343,0.437,3.33,2.398,2.874,0.111,3.383,0.333,3.849,1.446
0.09,0.279,0.343,0.439,4.18,2.642,3.477,0.117,3.095,0.349,3.548,1.255
0.101,0.266,0.343,5.861,4.28,2.606,2.644,0.103,2.816,0.382,3.669,1.235
